Provincia,Municipio,Localidad,Nombre,Ubicación
ALMERÍA,Vélez-Rubio,VÉLEZ-RUBIO,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD VÉLEZ RUBIO
ALMERÍA,Vera,VERA,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD VERA
ALMERÍA,Vícar,PUEBLA DE VÍCAR,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD PUEBLA DE VÍCAR
ALMERÍA,"Ejido, El",EL EJIDO,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD EL EJIDO
ÁVILA,Arenas de San Pedro,ARENAS DE SAN PEDRO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ARENAS DE SAN PEDRO
ÁVILA,Arévalo,ARÉVALO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ARÉVALO
ÁVILA,Ávila,ÁVILA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ÁVILA RURAL
ÁVILA,Ávila,ÁVILA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ÁVILA ESTACIÓN
ÁVILA,"Barco de Ávila, El",BARCO DE ÁVILA (EL),PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD BARCO DE ÁVILA
ÁVILA,"Barraco, El",BARRACO (EL),CENTRO DE GUARDIA (CG),CONSULTORIO LOCAL EL BARRACO
ÁVILA,Burgohondo,BURGOHONDO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD BURGOHONDO
ÁVILA,Candeleda,CANDELEDA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CANDELEDA
ÁVILA,Cebreros,CEBREROS,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CEBREROS
ÁVILA,Fontiveros,FONTIVEROS,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD FONTIVEROS
ÁVILA,Lanzahíta,LANZAHÍTA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD LANZAHÍTA
ÁVILA,Madrigal de las Altas Torres,MADRIGAL DE LAS ALTAS TORRES,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD MADRIGAL DE LAS ALTAS TORRES
ÁVILA,Mombeltrán,MOMBELTRÁN,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD MOMBELTRAN
ÁVILA,Muñana,MUÑANA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD MUÑANA
ÁVILA,Muñico,MUÑICO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD MUÑICO
ÁVILA,Navarredonda de Gredos,NAVARREDONDA DE GREDOS,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD GREDOS
ÁVILA,Piedrahíta,PIEDRAHÍTA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD PIEDRAHÍTA
ÁVILA,San Pedro del Arroyo,SAN PEDRO DEL ARROYO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD SAN PEDRO DEL ARROYO
ÁVILA,Sotillo de la Adrada,SOTILLO DE LA ADRADA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD SOTILLO DE LA ADRADA
SEGOVIA,Cuéllar,CUÉLLAR,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CUÉLLAR
SEGOVIA,"Espinar, El",ESPINAR (EL),PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD EL ESPINAR
SEGOVIA,Fuentesaúco de Fuentidueña,FUENTESAÚCO DE FUENTIDUEÑA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD FUENTESAÚCO DE FUENTIDUEÑA
PALENCIA,Barruelo de Santullán,BARRUELO DE SANTULLÁN,CENTRO DE GUARDIA (CG),CONSULTORIO LOCAL BARRUELO DE SANTULLÁN
PALENCIA,Carrión de los Condes,CARRIÓN DE LOS CONDES,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CARRIÓN DE LOS CONDES
PALENCIA,Cervera de Pisuerga,CERVERA DE PISUERGA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CERVERA DE PISUERGA
PALENCIA,Frómista,FRÓMISTA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD FRÓMISTA
PALENCIA,Guardo,GUARDO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD GUARDO
PALENCIA,Palencia,PALENCIA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD LA PUEBLA
PALENCIA,Paredes de Nava,PAREDES DE NAVA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD PAREDES DE NAVA
PALENCIA,Villada,VILLADA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VILLADA
PALENCIA,Villamuriel de Cerrato,VILLAMURIEL DE CERRATO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VILLAMURIEL DE CERRATO
PALENCIA,Villarramiel,VILLARRAMIEL,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VILLARRAMIEL
PALENCIA,Osorno la Mayor,OSORNO LA MAYOR,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD OSORNO
LAS PALMAS,Agaete,AGAETE,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD AGAETE
LAS PALMAS,Agüimes,AGÜIMES,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD AGÜIMES
LAS PALMAS,Arrecife,ARRECIFE,SERVICIO NORMAL DE URGENCIAS (SNU),CENTRO SALUD VALTERRA
LAS PALMAS,Arucas,ARUCAS,SERVICIO NORMAL DE URGENCIAS (SNU),CENTRO SALUD ARUCAS
LAS PALMAS,Firgas,FIRGAS,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD FIRGAS
LAS PALMAS,Gáldar,GÁLDAR,SERVICIO NORMAL DE URGENCIAS (SNU),CENTRO SALUD GÁLDAR
LAS PALMAS,Ingenio,INGENIO,SERVICIO NORMAL DE URGENCIAS (SNU),CENTRO SALUD INGENIO
LAS PALMAS,Mogán,PLAYA DE MOGÁN,PUNTO DE ATENCIÓN CONTINUADA (PAC),CONSULTORIO LOCAL PLAYA DE MOGÁN
LAS PALMAS,Mogán,ARQUINEGUÍN,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ARQUINEGUÍN
LAS PALMAS,Moya,VILLA DE MOYA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD MOYA
LAS PALMAS,"Oliva, La",CORRALEJO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CORRALEJO
LAS PALMAS,Pájara,MORRO JABLE,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD MORRO JABLE
LAS PALMAS,"Palmas de Gran Canaria, Las",TAMARACEITE,SERVICIO NORMAL DE URGENCIAS (SNU),CENTRO SALUD TAMARACEITE
LAS PALMAS,"Palmas de Gran Canaria, Las",PALMAS DE GRAN CANARIA (LAS),SERVICIO NORMAL DE URGENCIAS (SNU),CENTRO SALUD GUANARTEME
LAS PALMAS,"Palmas de Gran Canaria, Las",PALMAS DE GRAN CANARIA (LAS),SERVICIO NORMAL DE URGENCIAS (SNU),CENTRO SALUD SAN JOSÉ
LAS PALMAS,"Palmas de Gran Canaria, Las",PALMAS DE GRAN CANARIA (LAS),SERVICIO NORMAL DE URGENCIAS (SNU),CENTRO SALUD BARRIO ATLÁNTICO
LAS PALMAS,"Palmas de Gran Canaria, Las",PALMAS DE GRAN CANARIA (LAS),SERVICIO NORMAL DE URGENCIAS (SNU),CENTRO SALUD SCHAMANN
LAS PALMAS,"Palmas de Gran Canaria, Las",PALMAS DE GRAN CANARIA (LAS),SERVICIO NORMAL DE URGENCIAS (SNU),CENTRO SALUD PUERTO
LAS PALMAS,"Palmas de Gran Canaria, Las",PALMAS DE GRAN CANARIA (LAS),SERVICIO NORMAL DE URGENCIAS (SNU),CENTRO SALUD CANALEJAS
LAS PALMAS,Puerto del Rosario,PUERTO DEL ROSARIO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD PUERTO DEL ROSARIO II
LAS PALMAS,Puerto del Rosario,PUERTO DEL ROSARIO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD PUERTO DEL ROSARIO I
LAS PALMAS,San Bartolomé de Tirajana,SAN BARTOLOMÉ DE TIRAJANA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD SAN BARTOLOMÉ DE TIRAJANA
LAS PALMAS,San Bartolomé de Tirajana,MASPALOMAS,SERVICIO NORMAL DE URGENCIAS (SNU),CENTRO SALUD MASPALOMAS
LAS PALMAS,"Aldea de San Nicolás, La",SAN NICOLÁS DE TOLENTINO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD SAN NICOLÁS DE TOLENTINO
LAS PALMAS,Santa Brígida,SANTA BRÍGIDA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD SANTA BRÍGIDA
LAS PALMAS,Santa Lucía de Tirajana,VECINDARIO,SERVICIO NORMAL DE URGENCIAS (SNU),CENTRO SALUD VECINDARIO
LAS PALMAS,Santa María de Guía de Gran Canaria,SANTA MARÍA DE GUÍA DE GRAN CANARIA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD SANTA MARÍA DE GUÍA
LAS PALMAS,Teguise,LA GRACIOSA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CONSULTORIO LOCAL LA GRACIOSA
LAS PALMAS,Tejeda,TEJEDA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD TEJEDA
JAÉN,Villanueva del Arzobispo,VILLANUEVA DEL ARZOBISPO,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD VILLANUEVA DEL ARZOBISPO
LEÓN,Astorga,ASTORGA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ASTORGA I
JAÉN,Villanueva de la Reina,VILLANUEVA DE LA REINA,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CONSULTORIO LOCAL VILLANUEVA DE LA REINA
LEÓN,Benavides,BENAVIDES DE ORBIGO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD BENAVIDES DE ORBIGO
LEÓN,Boñar,BOÑAR,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD BOÑAR
LEÓN,Cacabelos,CACABELOS,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CACABELOS
LEÓN,Fabero,FABERO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD FABERO
LEÓN,Luyego,QUINTANILLA DE SOMOZA,CENTRO DE GUARDIA (CG),CONSULTORIO LOCAL QUINTANILLA DE SOMOZA
LEÓN,Mansilla de las Mulas,MANSILLA DE LAS MULAS,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD MANSILLA DE LAS MULAS
ZARAGOZA,Luna,LUNA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD LUNA
ZARAGOZA,Maella,MAELLA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD MAELLA
ZARAGOZA,Mequinenza,MEQUINENZA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD MEQUINENZA
ZARAGOZA,Morata de Jalón,MORATA DE JALÓN,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD MORATA DE JALÓN
MADRID,San Sebastián de los Reyes,SAN SEBASTIÁN DE LOS REYES,SERVICIO DE URGENCIAS DE ATENCIÓN PRIMARIA (SUAP),CENTRO SALUD REYES CATÓLICOS
MADRID,Soto del Real,SOTO DEL REAL,SERVICIO DE ATENCIÓN RURAL (SAR),CENTRO SALUD SOTO DEL REAL
MADRID,Torrejón de Ardoz,TORREJÓN DE ARDOZ,SERVICIO DE URGENCIAS DE ATENCIÓN PRIMARIA (SUAP),CENTRO ESPECIALIDADES TORREJÓN DE ARDOZ
MADRID,Torrelodones,TORRELODONES,SERVICIO DE URGENCIAS DE ATENCIÓN PRIMARIA (SUAP),CENTRO SALUD TORRELODONES
MADRID,Valdemoro,VALDEMORO,SERVICIO DE URGENCIAS DE ATENCIÓN PRIMARIA (SUAP),CENTRO SALUD EL RESTÓN
MADRID,Villa del Prado,VILLA DEL PRADO,SERVICIO DE ATENCIÓN RURAL (SAR),CENTRO SALUD VILLA DEL PRADO
MADRID,Villanueva de la Cañada,VILLANUEVA DE LA CAÑADA,SERVICIO DE URGENCIAS DE ATENCIÓN PRIMARIA (SUAP),CENTRO SALUD VILLANUEVA DE LA CAÑADA
MADRID,Villarejo de Salvanés,VILLAREJO DE SALVANÉS,SERVICIO DE ATENCIÓN RURAL (SAR),CENTRO SALUD VILLAREJO DE SALVANÉS
MADRID,Villaviciosa de Odón,VILLAVICIOSA DE ODÓN,SERVICIO DE ATENCIÓN RURAL (SAR),CENTRO SALUD VILLAVICIOSA DE ODÓN
MADRID,Tres Cantos,TRES CANTOS,SERVICIO DE URGENCIAS DE ATENCIÓN PRIMARIA (SUAP),CENTRO SALUD TRES CANTOS
MÁLAGA,Algarrobo,ALGARROBO,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD ALGARROBO
MÁLAGA,Alhaurín el Grande,ALHAURÍN EL GRANDE,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD ALHAURÍN EL GRANDE - "DR. FRANCISCO BURGOS CASERO"
MÁLAGA,Álora,ÁLORA,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD ÁLORA
MÁLAGA,Alozaina,ALOZAINA,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD ALOZAINA
MÁLAGA,Benalmádena,ARROYO DE LA MIEL,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD ARROYO DE LA MIEL - BENALMÁDENA
MÁLAGA,Benaoján,BENAOJÁN,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD BENAOJÁN
MÁLAGA,Campillos,CAMPILLOS,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD CAMPILLOS
MÁLAGA,Cártama,ESTACIÓN,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD CÁRTAMA - ESTACIÓN
MÁLAGA,Coín,COÍN,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD COÍN
MÁLAGA,Cortes de la Frontera,CORTES DE LA FRONTERA,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CONSULTORIO LOCAL CORTES DE LA FRONTERA
MÁLAGA,Estepona,ESTEPONA,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD ESTEPONA
MÁLAGA,Málaga,MÁLAGA,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD PUERTA BLANCA
MÁLAGA,Málaga,MÁLAGA,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD EL PALO
MÁLAGA,Málaga,MÁLAGA,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD CRUZ DE HUMILLADERO
MÁLAGA,Mijas,LAS LAGUNAS DE MIJAS,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD LAS LAGUNAS
MÁLAGA,Nerja,NERJA,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD NERJA
MÁLAGA,Rincón de la Victoria,RINCÓN DE LA VICTORIA,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD RINCÓN DE LA VICTORIA
MÁLAGA,Valle de Abdalajís,VALLE DE ABDALAJÍS,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CONSULTORIO LOCAL VALLE DE ABDALAJÍS
MÁLAGA,Vélez-Málaga,VÉLEZ-MÁLAGA,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD VÉLEZ - MÁLAGA SUR
MÁLAGA,Vélez-Málaga,TORRE DEL MAR,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD TORRE DEL MAR
MÁLAGA,Villanueva del Trabuco,VILLANUEVA DEL TRABUCO,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CONSULTORIO LOCAL VILLANUEVA DEL TRABUCO
MÁLAGA,Viñuela,VIÑUELA,UNIDAD DE CUIDADOS CRÍTICOS Y URGENCIAS (UCCU),CENTRO SALUD VIÑUELA
MURCIA,Abanilla,ABANILLA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ABANILLA
MURCIA,Abarán,ABARÁN,SERVICIO DE URGENCIAS DE ATENCIÓN PRIMARIA (SUAP),CENTRO SALUD ABARÁN
MADRID,San Martín de Valdeiglesias,SAN MARTÍN DE VALDEIGLESIAS,SERVICIO DE ATENCIÓN RURAL (SAR),CENTRO SALUD SAN MARTÍN DE VALDEIGLESIAS
MURCIA,Archena,ARCHENA,SERVICIO DE URGENCIAS DE ATENCIÓN PRIMARIA (SUAP),CENTRO SALUD ARCHENA
MURCIA,Beniel,BENIEL,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD BENIEL
MURCIA,Calasparra,CALASPARRA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CALASPARRA
MURCIA,Cartagena,POZO ESTRECHO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CARTAGENA/POZO ESTRECHO
MURCIA,Cartagena,CARTAGENA,SERVICIO DE URGENCIAS DE ATENCIÓN PRIMARIA (SUAP),CENTRO SALUD CARTAGENA/LOS DOLORES
MURCIA,Cartagena,CARTAGENA,SERVICIO DE URGENCIAS DE ATENCIÓN PRIMARIA (SUAP),HOSPITAL SANTA MARÍA DEL ROSELL
MURCIA,Cehegín,CEHEGÍN,SERVICIO DE URGENCIAS DE ATENCIÓN PRIMARIA (SUAP),CENTRO SALUD CEHEGÍN
MURCIA,Jumilla,JUMILLA,SERVICIO DE URGENCIAS DE ATENCIÓN PRIMARIA (SUAP),CENTRO SALUD JUMILLA
MURCIA,Librilla,LIBRILLA,PUNTO DE ESPECIAL AISLAMIENTO (PEA),CONSULTORIO LOCAL LIBRILLA
MURCIA,Lorca,TOVA,PUNTO DE ESPECIAL AISLAMIENTO (PEA),CONSULTORIO LOCAL TOVA-LA PARROQUIA
MURCIA,Lorca,ALMENDRICOS,PUNTO DE ESPECIAL AISLAMIENTO (PEA),CONSULTORIO LOCAL ALMENDRICOS
MURCIA,Lorca,RAMONETE,PUNTO DE ESPECIAL AISLAMIENTO (PEA),CONSULTORIO LOCAL RAMONETE
MURCIA,Lorca,LORCA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD LORCA - LA PACA
MURCIA,Lorca,LORCA,SERVICIO DE URGENCIAS DE ATENCIÓN PRIMARIA (SUAP),CENTRO SALUD LORCA - SAN DIEGO
MURCIA,Moratalla,CAÑADA DE LA CRUZ,PUNTO DE ESPECIAL AISLAMIENTO (PEA),CONSULTORIO LOCAL CAÑADA DE LA CRUZ
MURCIA,Moratalla,EL SABINAR,PUNTO DE ESPECIAL AISLAMIENTO (PEA),CONSULTORIO LOCAL EL SABINAR
MURCIA,Moratalla,BENIZAR,PUNTO DE ESPECIAL AISLAMIENTO (PEA),CONSULTORIO LOCAL BENIZAR
MURCIA,Mula,MORATALLA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD MORATALLA
MURCIA,San Javier,SAN JAVIER,SERVICIO DE URGENCIAS DE ATENCIÓN PRIMARIA (SUAP),CENTRO SALUD SAN JAVIER
MURCIA,San Javier,LA MANGA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD LA MANGA-COSTA CALIDA
MURCIA,San Pedro del Pinatar,SAN PEDRO DEL PINATAR,SERVICIO DE URGENCIAS DE ATENCIÓN PRIMARIA (SUAP),CENTRO SALUD SAN PEDRO DEL PINATAR
MURCIA,Torre-Pacheco,TORRE-PACHECO,SERVICIO DE URGENCIAS DE ATENCIÓN PRIMARIA (SUAP),CENTRO SALUD TORRE PACHECO ESTE
MURCIA,Totana,TOTANA,SERVICIO DE URGENCIAS DE ATENCIÓN PRIMARIA (SUAP),CENTRO SALUD TOTANA NORTE
MURCIA,"Unión, La",PORTMÁN,PUNTO DE ESPECIAL AISLAMIENTO (PEA),CONSULTORIO LOCAL PORTMAN
MURCIA,"Unión, La",UNIÓN (LA),SERVICIO DE URGENCIAS DE ATENCIÓN PRIMARIA (SUAP),CENTRO SALUD LA UNIÓN
NAVARRA,Allo,ALLO,PUNTO DE ATENCIÓN CONTINUADA (PAC) RURAL,CENTRO SALUD ALLO
NAVARRA,Andosilla,ANDOSILLA,PUNTO DE ATENCIÓN CONTINUADA (PAC) RURAL,CONSULTORIO LOCAL ANDOSILLA
NAVARRA,Araitz,ARRIBE,PUNTO DE ATENCIÓN CONTINUADA (PAC) RURAL ESPECIAL,CONSULTORIO LOCAL ARRIBE
CUENCA,Sisante,SISANTE,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD SISANTE
CUENCA,Talayuelas,TALAYUELAS,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD TALAYUELAS
CUENCA,Tarancón,TARANCÓN,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD TARANCÓN
CUENCA,Torrejoncillo del Rey,TORREJONCILLO DEL REY,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD TORREJÓNCILLO DEL REY
CUENCA,Tragacete,TRAGACETE,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD TRAGACETE
CUENCA,Valverde de Júcar,VALVERDE DE JÚCAR,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VALVERDE DEL JÚCAR
CUENCA,Villalba de la Sierra,VILLALBA DE LA SIERRA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VILLALBA DE LA SIERRA
CUENCA,Villalba del Rey,VILLALBA DEL REY,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VILLALBA DEL REY
CUENCA,Villamayor de Santiago,VILLAMAYOR DE SANTIAGO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VILLAMAYOR DE SANTIAGO
CUENCA,Villares del Saz,VILLARES DEL SAZ,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VILLARES DEL SAZ
CUENCA,Villas de la Ventosa,VILLAS DE LA VENTOSA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VILLAS DE LA VENTOSA
CUENCA,Campos del Paraíso,CARRASCOSA DEL CAMPO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CARRASCOSA DEL CAMPO
